icao,iata,name,city,country,lat,lon,elevation_ft
NZMC,MON,Mount Cook Airport,,NZ,-43.764999,170.132996,2153
NZMF,MFN,Milford Sound Airport,,NZ,-44.673302,167.923004,10
NZMK,MZP,Motueka Airport,,NZ,-41.123299,172.988998,39
NZMO,TEU,Manapouri Airport,,NZ,-45.5331,167.649994,687
NZMS,MRO,Hood Airport,Masterton,NZ,-40.974634,175.63454,364
NZNP,NPL,New Plymouth Airport,New Plymouth,NZ,-39.00859833,174.1790009,97
NZNR,NPE,Hawke's Bay Airport,Napier,NZ,-39.465801,176.869995,6
NZNS,NSN,Nelson Airport,Nelson,NZ,-41.298302,173.220993,17
NZNV,IVC,Invercargill Airport,Invercargill,NZ,-46.41239929,168.3130035,5
NZOH,OHA,RNZAF Base Ohakea,,NZ,-40.20600128,175.3880005,164
NZOU,OAM,Oamaru Airport,,NZ,-44.970001,171.082001,99
NZPM,PMR,Palmerston North Airport,Palmerston North,NZ,-40.320599,175.617004,151
NZPN,PCN,Picton Aerodrome,Koromiko,NZ,-41.34609985,173.9559937,161
NZPP,PPQ,Paraparaumu Airport,,NZ,-40.90470123,174.9889984,22
NZQN,ZQN,Queenstown International Airport,Queenstown,NZ,-45.021099,168.738998,1171
NZRA,RAG,Raglan Aerodrome,Raglan,NZ,-37.804699,174.860001,10
NZRC,SZS,Ryan's Creek Aerodrome,Oban,NZ,-46.8997,168.100998,62
NZRO,ROT,Rotorua Regional Airport,Rotorua,NZ,-38.1092,176.317001,935
NZRT,,Rangiora Airfield,Rangiora,NZ,-43.290001,172.542007,180
NZTG,TRG,Tauranga Airport,Tauranga,NZ,-37.6719017,176.1959991,13
NZTH,TMZ,Thames Aerodrome,,NZ,-37.1567,175.550003,10
NZTK,KTF,Takaka Airport,,NZ,-40.813301,172.774994,102
NZTO,TKZ,Tokoroa Airfield,Tokoroa,NZ,-38.236698,175.891998,1220
NZTU,TIU,Timaru Airport,,NZ,-44.30279922,171.2250061,89
NZUK,TWZ,Pukaki Airport,Twitzel,NZ,-44.23500061,170.1179962,1575
NZWB,BHE,Woodbourne Airport,Blenheim,NZ,-41.5182991,173.8699951,109
NZWF,WKA,Wanaka Airport,Wanaka,NZ,-44.722954,169.248419,1142
NZWK,WHK,Whakatane Airport,,NZ,-37.92060089,176.9140015,20
NZWN,WLG,Wellington International Airport,Wellington,NZ,-41.327202,174.804993,41
NZWO,WIR,Wairoa Airport,Wairoa,NZ,-39.012118,177.404395,42
NZWR,WRE,Whangarei Airport,Whangarei,NZ,-35.769253,174.363713,133
NZWS,WSZ,Westport Airport,Westport,NZ,-41.737111,171.579033,13
NZWT,WTZ,Whitianga Airport,Whitianga,NZ,-36.828731,175.682802,10
NZWU,WAG,Wanganui Airport,Wanganui,NZ,-39.96220016,175.0249939,27
OABN,BIN,Bamyan Airport,Bamyan,AF,34.808916,67.816629,8367
OABT,BST,Bost Airport,Lashkar Gah,AF,31.5597,64.364998,2464
OACC,CCN,Chaghcharan Airport,Chaghcharan,AF,34.526465,65.27102,7383
OADS,SBF,Sardeh Band Airport,Sardeh Band,AF,33.3207016,68.6364975,6971
OADY,DWR,Dwyer Airport,Reg,AF,31.091265,64.066053,2380
OADZ,DAZ,Darwaz Airport,Darwaz,AF,38.461798,70.881606,5250
OAFR,FAH,Farah Airport,Farah,AF,32.366667,62.165347,3083
OAFZ,FBD,Fayzabad Airport,Fayzabad,AF,37.122148,70.5201,3872
OAGN,GZI,Ghazni Airport,Ghazni,AF,33.487853,68.525243,0
OAGZ,GRG,Gardez Airport,Gardez,AF,33.627366,69.237023,7790
OAHN,KWH,Khwahan Airport,Khwahan,AF,37.890021,70.20383,3593
OAHR,HEA,Herat - Khwaja Abdullah Ansari International Airport,Guzara,AF,34.209999,62.228298,3206
OAIX,OAI,Bagram Airfield,Bagram,AF,34.946098,69.264999,4895
OAJL,JAA,Jalalabad Airport,Jalalabad,AF,34.399799,70.498596,1814
OAKB,KBL,Kabul International Airport,Kabul,AF,34.565899,69.212303,5877
OAKN,KDH,Ahmad Shah Baba International Airport / Kandahar Airfield,Khvoshab,AF,31.5058,65.847801,3337
OAKS,KHT,Khost International Airport,Khost,AF,33.284605,69.80734,4204
OAMN,MMZ,Maymana Zahiraddin Faryabi Airport,Maymana,AF,35.930801,64.760902,2743
OAMS,MZR,Mazar-i-Sharif International Airport,Mazar-i-Sharif,AF,36.706902,67.209702,1284
OAOG,URN,Urgun Airport,Urgun,AF,32.939933,69.150064,7300
OAQN,LQN,Qala-i-Naw Airport,Qala-i-Naw,AF,34.985472,63.117404,2999
OARG,URZ,Orūzgān Airport,Orūzgān,AF,32.90299988,66.63089752,6725
OARZ,KUR,Razer Airport,Skazar,AF,36.029893,70.714159,0
OASA,OAS,Sharana Airstrip,Sharana,AF,33.12575,68.838517,7340
OASD,OAH,Shindand Air Base,Shindand,AF,33.3913,62.261002,3773
OASH,OAA,Shank Air Base,Baraki Barak,AF,33.922217,69.07794,6890
OASL,OLR,Salerno Airport,Khost,AF,33.3638,69.9561,3780
OASN,SGA,Sheghnan Airport,Shiveh,AF,37.497642,71.508484,6700
OATN,TII,Tarinkot Airport,Tarinkot,AF,32.604198,65.865799,4429
OATQ,TQN,Taleqan Airport,Taleqan,AF,36.770699,69.531998,2606
OAUZ,UND,Kunduz Airport,Kunduz,AF,36.6651,68.910797,1457
OAZI,OAZ,Camp Shorabak Airfield,Lashkar Gah,AF,31.848735,64.223175,2943
OAZJ,ZAJ,Zaranj Airport,Zaranj,AF,30.972222,61.865833,1572
OBBI,BAH,Bahrain International Airport,Manama,BH,26.267295,50.63764,6
OEAB,AHB,Abha International Airport,Abha,SA,18.2404,42.656601,6858
OEAH,HOF,Al-Ahsa International Airport,Hofuf,SA,25.285299,49.485199,588
OEAO,ULH,Majeed Bin Abdulaziz Airport,Al Ula,SA,26.483333,38.116944,2050
OEBA,ABT,King Saud Bin Abdulaziz (Al Baha) Airport,Al-Baha,SA,20.298506,41.636153,5486
OEBH,BHH,Bisha Airport,Bisha,SA,19.9844,42.620899,3887
OEDF,DMM,King Fahd International Airport,Ad Dammam,SA,26.471201,49.797901,72
OEDR,DHA,King Abdulaziz Air Base,Dhahran,SA,26.2654,50.152,84
OEGN,GIZ,Jizan Regional Airport / King Abdullah bin Abdulaziz Airport,Jizan,SA,16.9011,42.5858,20
OEGS,ELQ,Gassim Airport,Buraidah,SA,26.302799,43.774399,2126
OEGT,URY,Gurayat Domestic Airport,Gurayat,SA,31.412413,37.278898,1672
OEHL,HAS,Ha'il Airport,Ha'il,SA,27.437901,41.686298,3331
OEJN,JED,King Abdulaziz International Airport,Jeddah,SA,21.6796,39.156502,48
OEKK,KMC,King Khaled Military City Airport,King Khaled Military City,SA,27.9009,45.528198,1352
OEKM,KMX,King Khalid Air Base,Khamis Mushait,SA,18.2973,42.803501,6778
OEMA,MED,Prince Mohammad Bin Abdulaziz Airport,Medina,SA,24.5534,39.705101,2151
OENG,EAM,Najran Domestic Airport,Najran,SA,17.611401,44.419201,3982
OENN,NUM,Neom Bay Airport,Sharma,SA,27.927598,35.28874,29
OEPA,AQI,Al Qaisumah/Hafr Al Batin Airport,Qaisumah,SA,28.335199,46.125099,1174
OEPS,AKH,Prince Sultan Air Base,Al Kharj,SA,24.0627,47.580502,1651
OERF,RAH,Rafha Domestic Airport,Rafha,SA,29.62639999,43.49060059,1474
OERK,RUH,King Khaled International Airport,Riyadh,SA,24.9576,46.698799,2049
OERR,RAE,Arar Domestic Airport,Arar,SA,30.90660095,41.13819885,1813
OESH,SHW,Sharurah Domestic Airport,Sharurah,SA,17.4669,47.121399,2363
OESK,AJF,Al-Jawf Domestic Airport,Al-Jawf,SA,29.78510094,40.09999847,2261
OESL,SLF,As-Sulayyil Airport,As-Sulayyil,SA,20.464701,45.619598,2021
OETB,TUU,Tabuk Airport,Tabuk,SA,28.3654,36.6189,2551
OETF,TIF,Ta’if Regional Airport,Ta’if,SA,21.483001,40.543442,4848
OETR,TUI,Turaif Domestic Airport,Turaif,SA,31.692188,38.731544,2803
OEWD,WAE,Wadi Al Dawasir Domestic Airport,Wadi Al Dawasir,SA,20.504299,45.1996,2062
OEWJ,EJH,Al Wajh Domestic Airport,Al Wajh,SA,26.198601,36.476398,66
OEYN,YNB,Prince Abdul Mohsin bin Abdulaziz International Airport / Yanbu Airport,Yanbu,SA,24.144199,38.0634,26
OEZL,ZUL,Zilfi Airport,Zilfi,SA,26.35000038,44.83300018,1900
OIAA,ABD,Abadan Airport,Abadan,IR,30.367887,48.230075,10
OIAD,DEF,Dezful Airport,Dezful,IR,32.434399,48.397598,474
OIAG,AKW,Aghajari Airport,Aghajari,IR,30.7444,49.6772,88
OIAH,GCH,Gachsaran Airport,Gachsaran,IR,30.333869,50.833796,2414
OIAJ,OMI,Omidiyeh Airport,Omidiyeh,IR,30.835199,49.534901,85
OIAM,MRX,Mahshahr Airport,Mahshahr,IR,30.5562,49.151901,8
OIAW,AWZ,Lieutenant General Qasem Soleimani International Airport,Ahvaz,IR,31.3374,48.762001,66
OIBA,AEU,Abu Musa Island Airport,Abu Musa,IR,25.8757,55.033001,23
OIBB,BUZ,Bushehr Airport,Bushehr,IR,28.94479942,50.83459854,68
OIBH,,Bastak Airport,,IR,27.21269989,54.3185997,1350
OIBJ,KNR,Jam Airport,Jam,IR,27.820499,52.3522,2173
OIBK,KIH,Kish International Airport,Kish Island,IR,26.52619934,53.98020172,101
OIBL,BDH,Bandar Lengeh International Airport,Bandar Lengeh,IR,26.532283,54.82484,67
OIBP,PGU,Persian Gulf International Airport,Khiyaroo,IR,27.379601,52.737701,27
OIBQ,KHK,Khark Airport,Khark,IR,29.260503,50.322193,17
OIBS,SXI,Siri Airport,Siri,IR,25.908899,54.539398,43
OIBV,LVP,Lavan Airport,Lavan Airport,IR,26.810742,53.354302,76
OICC,KSH,Shahid Ashrafi Esfahani Airport,Kermanshah,IR,34.34590149,47.15810013,4307
OICI,IIL,Ilam Airport,Ilam,IR,33.58660126,46.40480042,4404
OICK,KHD,Khoram Abad Airport,,IR,33.4353981,48.28290176,3782
OICS,SDG,Sanandaj Airport,,IR,35.2458992,47.00920105,4522
OIFE,IFH,Hesa Airport,Hesa,IR,32.928902,51.5611,5256
OIFK,KKS,Kashan Airport,Kashan,IR,33.895302,51.577,3465
OIFM,IFN,Isfahan Shahid Beheshti International Airport,Isfahan,IR,32.750755,51.861483,5059
OIFS,CQD,Shahrekord Airport,Shahrekord,IR,32.29719925,50.84220123,6723
OIGG,RAS,Sardar-e-Jangal Airport,Rasht,IR,37.323333,49.617778,-40
OIHH,HDM,Hamadan Airport,Hamadan,IR,34.869202,48.552502,5755
OIHR,AJK,Arak Airport,Araak,IR,34.1381,49.847301,5440
OIHS,NUJ,Nojeh Air Base,Amirabad,IR,35.211601,48.6534,5609
OIIE,IKA,Imam Khomeini International Airport,Tehran,IR,35.41609955,51.15219879,3305
OIII,THR,Mehrabad International Airport,Tehran,IR,35.68920135,51.31340027,3962
OIIK,GZW,Qazvin Airport,Qazvin,IR,36.240101,50.0471,4184
OIIP,PYK,Payam Karaj International Airport,Karaj,IR,35.7761,50.826698,4170
OIIS,SNX,Semnan Municipal Airport,Semnan,IR,35.591099,53.495098,3665
OIKB,BND,Bandar Abbas International Airport,Bandar Abbas,IR,27.21829987,56.37779999,22
OIKJ,JYR,Jiroft Airport,Jiroft,IR,28.723519,57.675037,2663
OIKK,KER,Ayatollah Hashemi Rafsanjani International Airport,Kerman,IR,30.271276,56.949692,5741
OIKM,BXR,Bam Airport,Bam,IR,29.0842,58.450001,3231
OIKP,HDR,Havadarya Airport,Bandar Abbas,IR,27.1583,56.172501,19
OIKQ,GSM,Qeshm Dayrestan International Airport,Dayrestan,IR,26.754639,55.902353,45
OIKR,RJN,Rafsanjan Airport,Rafsanjan,IR,30.298345,56.048979,5298
OIKY,SYJ,Sirjan Airport,Sirjan,IR,29.5509,55.672699,5846
OIMB,XBJ,Birjand International Airport,Birjand,IR,32.896525,59.281258,4952
OIMC,CKT,Sarakhs Airport,Sarakhs,IR,36.501202,61.064899,945
OIMJ,RUD,Shahrud International Airport,Shahrud,IR,36.425301,55.104198,4215
OIMM,MHD,Mashhad International Airport,Mashhad,IR,36.23519897,59.64099884,3263
OIMN,BJB,Bojnord Airport,Bojnord,IR,37.49300003,57.30820084,3499
OIMS,AFZ,Sabzevar National Airport,Sabzevar,IR,36.16809845,57.59519958,3010
OIMT,TCX,Tabas Airport,Tabas,IR,33.667801,56.8927,2312
OINE,KLM,Kalaleh Airport,Kalaleh,IR,37.383301,55.452,425
OING,GBT,Gorgan Airport,Gorgan,IR,36.90940094,54.40129852,-24
OINJ,BSM,Bishe Kola Air Base,Amol,IR,36.655102,52.349602,-79
OINN,NSH,Nowshahr Airport,Nowshahr,IR,36.664286,51.46273,-61
OINR,RZR,Ramsar Airport,Ramsar,IR,36.90701,50.687316,-70
OINZ,SRY,Sari Dasht-e Naz International Airport,Sari,IR,36.644408,53.188761,35
OISF,FAZ,Fasa Airport,Fasa,IR,28.8918,53.723301,4261
OISJ,JAR,Jahrom Airport,Jahrom,IR,28.58670044,53.57910156,3358
OISL,LRR,Lar Airport,Lar,IR,27.6747,54.383301,2641
OISR,LFM,Lamerd Airport,Lamerd,IR,27.3727,53.188801,1337
OISS,SYZ,Shiraz Shahid Dastghaib International Airport,Shiraz,IR,29.5392,52.589802,4927
OISY,YES,Yasuj Airport,Yasuj,IR,30.702238,51.542988,5939
OITH,KHA,Khaneh Airport,Khaneh,IR,36.733341,45.150002,4804
OITK,KHY,Khoy Airport,Khoy,IR,38.42750168,44.97359848,3981
OITL,ADU,Ardabil Airport,Ardabil,IR,38.32569885,48.42440033,4315
OITM,ACP,Sahand Airport,Maragheh,IR,37.34799957,46.12789917,4396
OITP,PFQ,Parsabad-Moghan Airport,Parsabad,IR,39.6036,47.8815,251
OITR,OMH,Urmia Airport,Urmia,IR,37.66809845,45.06869888,4343
OITT,TBZ,Tabriz International Airport,Tabriz,IR,38.1339,46.235001,4459
OITU,IMQ,Maku National Airport,Showt,IR,39.191293,44.928505,3136
OITZ,JWN,Zanjan Airport,Zanjan,IR,36.77370071,48.3594017,5382
OIYY,AZD,Shahid Sadooghi Airport,Yazd,IR,31.9048996,54.2765007,4054
OIZB,ACZ,Zabol Airport,Zabol,IR,31.098301,61.5439,1628
OIZC,ZBR,Chabahar Konarak International Airport,Konarak,IR,25.44319,60.382167,13
OIZH,ZAH,Zahedan International Airport,Zahedan,IR,29.47570038,60.90620041,4564
OIZI,IHR,Iranshahr Airport,Iranshahr,IR,27.236099,60.720001,2040
OIZJ,JSK,Jask Airport,Bandar-e-Jask,IR,25.654757,57.801718,19
OJAI,AMM,Queen Alia International Airport,Amman,JO,31.72260094,35.99319839,2395
OJAM,ADJ,Amman Civil (Marka International) Airport,Amman,JO,31.9727,35.9916,2555
OJAQ,AQJ,Aqaba King Hussein International Airport,Aqaba,JO,29.61160088,35.01810074,175
OJMF,OMF,King Hussein Air College,Mafraq,JO,32.3564,36.259201,2240
OKAJ,XIJ,Ahmed Al Jaber Air Base,Ahmed Al Jaber AB,KW,28.93479919,47.79190063,409
OKKK,KWI,Kuwait International Airport,Kuwait City,KW,29.226601,47.968899,206
OLBA,BEY,Beirut Rafic Hariri International Airport,Beirut,LB,33.82089996,35.48839951,87
OLKA,KYE,Rene Mouawad Air Base / Kleyate Airport,Tripoli,LB,34.589298,36.011299,75
OMAA,AUH,Zayed International Airport,Abu Dhabi,AE,24.443764,54.651718,88
OMAD,AZI,Al Bateen Executive Airport,Abu Dhabi,AE,24.428301,54.458099,16
OMAL,AAN,Al Ain International Airport,Al Ain,AE,24.26169968,55.60919952,869
OMAM,DHF,Al Dhafra Air Base,,AE,24.24819946,54.54769897,77
OMBY,XSB,Sir Bani Yas Airport,Sir Bani Yas,AE,24.283611,52.580278,25
OMDB,DXB,Dubai International Airport,Dubai,AE,25.25279999,55.36439896,62
OMDL,ZDY,Delma Airport,Delma Island,AE,24.51,52.3352,30
OMDM,NHD,Al Minhad Air Base,Dubai,AE,25.02680016,55.36619949,165
OMDW,DWC,Al Maktoum International Airport,Jebel Ali,AE,24.896356,55.161389,114
OMFJ,FJR,Fujairah International Airport,Fujairah,AE,25.1122,56.324001,152
OMRK,RKT,Ras Al Khaimah International Airport,Ras Al Khaimah,AE,25.6135006,55.93880081,102
OMSJ,SHJ,Sharjah International Airport,Sharjah,AE,25.3286,55.5172,111
OOBR,RMB,Buraimi Airport,Buraimi,OM,24.241626,55.783674,970
OOFD,FAU,Fahud Airport,Fahud,OM,22.354759,56.484146,552
OOGB,RNM,Qarn Alam Airport,Ghaba,OM,21.377199,57.056293,443
OOKB,KHS,Khasab Airport,Khasab,OM,26.171,56.240601,100
OOLK,LKW,Lekhwair Airport,Lekhwair,OM,22.804866,55.372801,354
OOMA,MSH,RAFO Masirah,Masirah,OM,20.6754,58.890499,64
OOMS,MCT,Muscat International Airport,Muscat,OM,23.5933,58.284401,48
OOMX,OMM,Marmul Airport,Marmul,OM,18.138999,55.179005,925
OOSA,SLL,Salalah Airport,Salalah,OM,17.0387001,54.09130096,73
OOSH,OHS,Sohar Airport,Sohar,OM,24.38604,56.62541,20
OOTH,TTH,Thumrait Air Base,Thumrait,OM,17.666,54.024601,1570
OPBN,BNP,Bannu Airport,Bannu,PK,32.9729,70.527901,1325
OPBW,BHV,Bahawalpur Airport,Bahawalpur,PK,29.34810066,71.71800232,392
OPCH,CJL,Chitral Airport,Chitral,PK,35.886213,71.799922,4920
OPCL,CHB,Chilas Airport,Chilas,PK,35.42670059,74.08170319,4146
OPDB,DBA,Dalbandin Airport,Dalbandin,PK,28.87829971,64.39980316,2800
OPDG,DEA,Dera Ghazi Khan Airport,Dera Ghazi Khan,PK,29.96100044,70.48590088,492
OPDI,DSK,Dera Ismael Khan Airport,Dera Ismael Khan,PK,31.909401,70.896599,594
OPFA,LYP,Faisalabad International Airport,Faisalabad,PK,31.36499977,72.99479675,591
OPGD,GWD,New Gwadar International Airport,Gurandani,PK,25.296733,62.498822,61
OPGT,GIL,Gilgit Airport,Gilgit,PK,35.91880035,74.33360291,4796
OPGW,,Gwadar International Airport,Gwadar,PK,25.232391,62.327671,36
OPIS,ISB,Islamabad International Airport,Attock,PK,33.549,72.82566,1761
OPJA,JAG,Shahbaz Air Base,Jacobabad,PK,28.28420067,68.4496994,185
OPKC,KHI,Jinnah International Airport,Karachi,PK,24.9065,67.160797,100
OPKD,HDD,Hyderabad Airport,Hyderabad,PK,25.3181,68.366096,130
OPKH,KDD,Khuzdar Airport,Khuzdar,PK,27.79059982,66.64730072,4012
OPKT,OHT,Kohat Airport,Kohat,PK,33.56999969,71.44000244,1650
OPLA,LHE,Allama Iqbal International Airport,Lahore,PK,31.521601,74.403603,712
OPLL,LRG,Loralai Airport,Loralai,PK,30.35549927,68.6135025,4631
OPMA,XJM,Mangla Airport,Mangla,PK,33.05009842,73.63839722,902
OPMF,MFG,Muzaffarabad Airport,Muzaffarabad,PK,34.339001,73.508598,2691
OPMI,MWD,Mianwali Air Base,Mianwali,PK,32.56309891,71.5707016,690
OPMJ,MJD,Moenjodaro Airport,Moenjodaro,PK,27.335199,68.143097,154
OPMP,MPD,Sindhri Tharparkar Airport,Sindhri,PK,25.68280029,69.07279968,51
OPMT,MUX,Multan International Airport,Multan,PK,30.20319939,71.4190979,403
OPNH,WNS,Shaheed Benazirabad Airport,Nawabashah,PK,26.2194,68.390099,95
OPOR,ORW,Ormara Airport,Ormara Raik,PK,25.276625,64.588343,10
OPPC,PAJ,Parachinar Airport,Parachinar,PK,33.9021,70.071602,5800
OPPG,PJG,Panjgur Airport,Panjgur,PK,26.9545,64.1325,3289
OPPI,PSI,Pasni Airport,Pasni,PK,25.290501,63.3451,33
OPPS,PEW,Peshawar International Airport,Peshawar,PK,33.9939003,71.51460266,1158
OPQT,UET,Quetta International Airport,Quetta,PK,30.25139999,66.93779755,5267
OPRK,RYK,Shaikh Zaid Airport,Rahim Yar Khan,PK,28.38389969,70.27960205,271
OPRT,RAZ,Rawalakot Airport,Rawalakot,PK,33.849701,73.798103,5479
OPSB,SBQ,Sibi Airport,Sibi,PK,29.571199,67.8479,436
OPSD,KDU,Skardu Airport,Skardu,PK,35.33549881,75.53600311,7316
OPSK,SKZ,Sukkur Airport,Mirpur Khas,PK,27.72200012,68.79170227,196
OPSN,SYW,Sehwan Sharif Airport,Sehwan Sharif,PK,26.473101,67.717201,121
OPSR,SGI,Mushaf Air Base,Sargodha,PK,32.04859924,72.66500092,614
OPSS,SDT,Saidu Sharif Airport,Saidu Sharif,PK,34.813599,72.352798,3183
